msg_idx,text,time,img,chk,ac_receiver,ac_sender
1,"안녕, 잘 지내? 😊","2025-05-15 10:00:00",,0,2,1
2,"영화 추천해줄래? 🎬","2025-05-15 10:05:00","https://example.com/msg1.jpg",1,1,2
3,"드라마 재밌는 거 봤어! 📺","2025-05-15 10:10:00",,0,3,1
4,"애니 추천해줘! 🎉","2025-05-15 10:15:00",,1,4,2
5,"음악 플레이리스트 공유할게 🎵","2025-05-15 10:20:00","https://example.com/msg2.jpg",0,5,3
6,"SF 영화 재밌더라 🌌","2025-05-15 10:25:00",,1,6,4
7,"호러 영화 무섭더라… 😱","2025-05-15 10:30:00",,0,7,5
8,"코미디 드라마 볼까? 😂","2025-05-15 10:35:00",,1,8,6
9,"판타지 애니 추천! 🐉","2025-05-15 10:40:00","https://example.com/msg3.jpg",0,9,7
10,"좋은 음악 들었어 🎶","2025-05-15 10:45:00",,1,10,8
