notifi_idx,time,text,chk,ac_idx,setting_idx
1,"2025-05-15 10:00:00","새로운 메시지 도착! 📩",0,1,1
2,"2025-05-15 10:05:00","좋아요 알림! 👍",1,1,1
3,"2025-05-15 10:10:00","팔로우 알림! 👥",0,2,2
4,"2025-05-15 10:15:00","댓글 알림! 💬",1,2,2
5,"2025-05-15 10:20:00","새로운 메시지 도착! 📧",0,3,3
6,"2025-05-15 10:25:00","좋아요 알림! 🥰",1,3,3
7,"2025-05-15 10:30:00","팔로우 알림! 🙌",0,4,4
8,"2025-05-15 10:35:00","댓글 알림! 💌",1,4,4
9,"2025-05-15 10:40:00","새로운 메시지 도착! 📤",0,5,5
10,"2025-05-15 10:45:00","좋아요 알림! 🎉",1,5,5
11,"2025-05-15 10:50:00","팔로우 알림! 👀",0,6,6
12,"2025-05-15 10:55:00","댓글 알림! 📝",1,6,6
13,"2025-05-15 11:00:00","새로운 메시지 도착! ✉️",0,7,7
14,"2025-05-15 11:05:00","좋아요 알림! 🌟",1,8,8
15,"2025-05-15 11:10:00","팔로우 알림! 🤝",0,9,9
