userPg_idx,subject,thumbnail,created_at,ac_idx,re_userPg_idx
1,"나의 영화 기록","https://example.com/thumb1.jpg","2025-05-10 10:00:00",1,
2,"드라마 노트","https://example.com/thumb2.jpg","2025-05-10 11:00:00",1,1
3,"애니메이션 추천","https://example.com/thumb3.jpg","2025-05-11 12:00:00",2,
4,"음악 플레이리스트","https://example.com/thumb4.jpg","2025-05-11 13:00:00",2,
5,"영화 리뷰","https://example.com/thumb5.jpg","2025-05-12 14:00:00",3,3
6,"드라마 감상","https://example.com/thumb6.jpg","2025-05-12 15:00:00",3,
7,"애니 팬 페이지","https://example.com/thumb7.jpg","2025-05-13 16:00:00",4,
8,"음악 이야기","https://example.com/thumb8.jpg","2025-05-13 17:00:00",4,
9,"SF 영화 기록","https://example.com/thumb9.jpg","2025-05-14 18:00:00",5,
10,"로맨스 드라마","https://example.com/thumb10.jpg","2025-05-14 19:00:00",5,9
11,"애니메이션 감상","https://example.com/thumb11.jpg","2025-05-15 10:00:00",6,
12,"음악과 나","https://example.com/thumb12.jpg","2025-05-15 11:00:00",6,
13,"호러 영화 노트","https://example.com/thumb13.jpg","2025-05-15 12:00:00",7,
14,"코미디 드라마","https://example.com/thumb14.jpg","2025-05-15 13:00:00",8,
15,"판타지 애니","https://example.com/thumb15.jpg","2025-05-15 14:00:00",9,
